order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state
O00088,C0536,2025-09-18,Completed,Debit Card,Pune,Maharashtra
O00089,C1070,2025-12-05,Completed,COD,Bengaluru,Karnataka
O00090,C4370,2023-03-16,Completed,Net Banking,Lucknow,Uttar Pradesh
O00091,C0133,2024-02-10,Completed,Credit Card,Gurugram,Haryana
O00092,C0264,2023-01-03,Completed,UPI,Bengaluru,Karnataka
O00093,C4463,2025-10-29,Completed,Credit Card,Indore,Madhya Pradesh
O00094,C2053,2024-05-28,Completed,UPI,Kolkata,West Bengal
O00095,C4947,2024-06-23,Returned,Debit Card,Mumbai,Maharashtra
O00096,C4090,2023-10-17,Cancelled,Credit Card,Nagpur,Maharashtra
O00097,C2848,2023-06-30,Completed,UPI,Kochi,Kerala
O00098,C0358,2023-09-23,Completed,COD,Chandigarh,Chandigarh
O00099,C4421,2023-03-24,Completed,Debit Card,Bengaluru,Karnataka
O00100,C0751,2023-09-15,Completed,UPI,Gurugram,Haryana
O00101,C3251,2025-08-07,Completed,Unknown,Hyderabad,Telangana
O00102,C4352,2023-07-18,Completed,COD,Chennai,Tamil Nadu
O00103,C2259,2024-10-09,Completed,Credit Card,Lucknow,Uttar Pradesh
O00104,C0911,2023-09-23,Cancelled,Net Banking,Indore,Madhya Pradesh
O00105,C3811,2025-09-23,Completed,Credit Card,Pune,Maharashtra
O00106,C0584,2025-05-19,Returned,UPI,Jaipur,Rajasthan
O00107,C3439,2024-12-31,Completed,Credit Card,Noida,Uttar Pradesh
O00108,C0577,2025-05-10,Completed,UPI,Kolkata,West Bengal
O00109,C2577,2023-01-19,Cancelled,COD,Ahmedabad,Gujarat
O00110,C1872,2024-01-06,Returned,Debit Card,Gurugram,Haryana
O00111,C1153,2025-11-12,Completed,Net Banking,Mumbai,Maharashtra
O00112,C4991,2024-09-10,Completed,Debit Card,Patna,Bihar
O00113,C1784,2024-10-04,Cancelled,UPI,Gurugram,Haryana
O00114,C1094,2024-01-14,Completed,Credit Card,Bhubaneswar,Odisha
O00115,C2100,2025-03-27,Completed,Credit Card,Chandigarh,Chandigarh
O00116,C4533,2025-04-03,Completed,COD,Gurugram,Haryana
O00117,C2142,2023-03-31,Completed,Credit Card,Chennai,Tamil Nadu
O00118,C2134,2023-05-24,Completed,Credit Card,Surat,Gujarat
O00119,C0518,2024-09-12,Completed,UPI,Kolkata,West Bengal
O00120,C0742,2025-05-13,Completed,UPI,Bengaluru,Karnataka
O00121,C2478,2023-07-23,Completed,Credit Card,Hyderabad,Telangana
O00122,C4959,2025-05-14,Returned,Debit Card,Bhubaneswar,Odisha
O00123,C2877,2023-06-02,Completed,Credit Card,Noida,Uttar Pradesh
O00124,C0043,2024-06-12,Returned,Credit Card,Bhopal,Madhya Pradesh
O00125,C3442,2023-12-05,Cancelled,UPI,Kolkata,West Bengal
O00126,C0404,2025-01-18,Completed,Debit Card,Delhi,Delhi
O00127,C1327,2025-12-15,Completed,UPI,Nagpur,Maharashtra
O00128,C2217,2024-07-09,Completed,Credit Card,Ahmedabad,Gujarat
O00129,C2150,2025-01-22,Completed,UPI,Chennai,Tamil Nadu
O00130,C2394,2025-07-19,Completed,Credit Card,Surat,Gujarat
O00131,C2651,2024-07-04,Completed,UPI,Gurugram,Haryana
O00132,C4538,2023-04-08,Cancelled,Net Banking,Nagpur,Maharashtra
O00133,C4346,2025-03-03,Completed,Credit Card,Lucknow,Uttar Pradesh
O00134,C0878,2024-02-26,Completed,Debit Card,Kochi,Kerala
O00135,C1887,2023-03-21,Completed,COD,Nagpur,Maharashtra
O00136,C1304,2023-10-15,Completed,UPI,Hyderabad,Telangana
O00137,C1741,2025-04-26,Completed,Credit Card,Lucknow,Uttar Pradesh
O00138,C1113,2023-06-18,Completed,COD,Nagpur,Maharashtra
O00139,C3877,2023-03-12,Completed,Credit Card,Ahmedabad,Gujarat
O00140,C1899,2023-09-20,Cancelled,Credit Card,Lucknow,Uttar Pradesh
O00141,C0248,2024-12-12,Completed,UPI,Noida,Uttar Pradesh
O00142,C3261,2024-12-23,Completed,Credit Card,Chennai,Tamil Nadu
O00143,C0568,2024-06-13,Completed,Debit Card,Indore,Madhya Pradesh
O00144,C3810,2025-02-23,Completed,UPI,Hyderabad,Telangana
O00145,C1189,2023-07-29,Completed,Credit Card,Patna,Bihar
O00146,C2596,2023-04-27,Cancelled,Credit Card,Patna,Bihar
O00147,C1354,2024-09-07,Completed,COD,Jaipur,Rajasthan
O00148,C3613,2023-11-11,Completed,Credit Card,Surat,Gujarat
O00149,C0981,2023-01-11,Completed,Net Banking,Delhi,Delhi
O00150,C4966,2025-12-10,Completed,Credit Card,Kochi,Kerala
O00151,C0169,2025-10-27,Completed,Debit Card,Chennai,Tamil Nadu
O00152,C3165,2025-08-12,Cancelled,UPI,Kolkata,West Bengal
O00153,C2672,2023-09-18,Cancelled,UPI,Jaipur,Rajasthan
O00154,C0379,2023-07-19,Completed,COD,Bhopal,Madhya Pradesh
O00155,C1933,2023-11-26,Completed,Credit Card,Nagpur,Maharashtra
O00156,C0194,2023-03-31,Completed,Net Banking,Jaipur,Rajasthan
O00157,C0264,2024-08-13,Completed,Debit Card,Bengaluru,Karnataka
O00158,C1472,2023-02-24,Completed,Credit Card,Chandigarh,Chandigarh
O00159,C2016,2023-04-02,Completed,COD,Bhubaneswar,Odisha
O00160,C4617,2023-02-25,Completed,Credit Card,Bhubaneswar,Odisha
O00161,C1301,2023-03-02,Completed,UPI,Jaipur,Rajasthan
O00162,C3201,2023-04-27,Completed,UPI,Kochi,Kerala
O00163,C3374,2024-08-12,Completed,COD,Ahmedabad,Gujarat
O00164,C0574,2023-08-24,Completed,Credit Card,Lucknow,Uttar Pradesh
O00165,C1538,2023-02-02,Completed,Debit Card,Indore,Madhya Pradesh
O00166,C1384,2025-02-24,Completed,UPI,Bengaluru,Karnataka
O00167,C1381,2023-01-21,Completed,COD,Ahmedabad,Gujarat
O00168,C3538,2025-07-06,Completed,COD,Gurugram,Haryana
O00169,C3160,2023-10-29,Cancelled,Credit Card,Ahmedabad,Gujarat
O00170,C1524,2023-10-24,Cancelled,Debit Card,Bhubaneswar,Odisha
O00171,C4992,2025-02-11,Completed,Credit Card,Patna,Bihar
O00172,C4613,2025-12-03,Completed,Credit Card,Bhubaneswar,Odisha
O00173,C3933,2024-02-23,Completed,COD,Bhopal,Madhya Pradesh
O00174,C3623,2023-03-03,Completed,Net Banking,Lucknow,Uttar Pradesh
O00175,C0896,2025-05-07,Completed,UPI,Mumbai,Maharashtra
O00176,C3394,2024-06-21,Completed,UPI,Indore,Madhya Pradesh
O00177,C0465,2024-11-26,Completed,UPI,Jaipur,Rajasthan
O00178,C1611,2025-03-28,Completed,COD,Gurugram,Haryana
O00179,C0613,2025-11-25,Completed,Debit Card,Delhi,Delhi
O00180,C3213,2025-07-08,Completed,UPI,Nagpur,Maharashtra
O00181,C0605,2025-09-01,Completed,UPI,Delhi,Delhi
O00182,C0621,2024-06-25,Returned,Debit Card,Chennai,Tamil Nadu
O00183,C2603,2025-02-28,Completed,UPI,Surat,Gujarat
O00184,C2184,2023-02-02,Completed,UPI,Jaipur,Rajasthan
O00185,C3801,2024-08-03,Completed,Credit Card,Indore,Madhya Pradesh
O00186,C0156,2023-12-18,Completed,COD,Lucknow,Uttar Pradesh
O00187,C3354,2023-09-12,Completed,UPI,Pune,Maharashtra
O00188,C3912,2025-12-09,Completed,Debit Card,Kolkata,West Bengal
O00189,C2918,2025-11-12,Completed,COD,Chandigarh,Chandigarh
O00190,C3118,2023-09-30,Completed,UPI,Noida,Uttar Pradesh
O00191,C2716,2024-11-23,Completed,Debit Card,Lucknow,Uttar Pradesh
O00192,C4340,2023-09-07,Completed,COD,Ahmedabad,Gujarat
O00193,C0450,2025-06-22,Completed,UPI,Chennai,Tamil Nadu
O00194,C4850,2023-08-20,Completed,Net Banking,Bhopal,Madhya Pradesh
O00195,C4502,2024-03-03,Completed,UPI,Bhopal,Madhya Pradesh
O00196,C3962,2025-08-14,Completed,UPI,Indore,Madhya Pradesh
O00197,C1070,2024-09-25,Completed,COD,Bengaluru,Karnataka
O00198,C4018,2023-08-30,Completed,Credit Card,Surat,Gujarat
O00199,C4845,2023-05-14,Completed,Debit Card,Patna,Bihar
O00200,C3592,2025-12-30,Completed,Credit Card,Bengaluru,Karnataka
O00201,C2820,2025-10-20,Completed,Debit Card,Kolkata,West Bengal
O00202,C2286,2023-08-07,Completed,UPI,Bhopal,Madhya Pradesh
O00203,C2036,2024-11-27,Completed,UPI,Bhubaneswar,Odisha
O00204,C1191,2023-11-03,Completed,Debit Card,Lucknow,Uttar Pradesh
O00205,C1400,2023-11-10,Completed,UPI,Chandigarh,Chandigarh
O00206,C3741,2025-07-11,Completed,COD,Pune,Maharashtra
O00207,C2249,2023-10-08,Cancelled,Net Banking,Indore,Madhya Pradesh
O00208,C2794,2023-02-04,Cancelled,UPI,Mumbai,Maharashtra
O00209,C0724,2023-03-11,Completed,COD,Patna,Bihar
O00210,C1442,2023-12-26,Completed,UPI,Noida,Uttar Pradesh
O00211,C4821,2024-02-12,Returned,COD,Jaipur,Rajasthan
O00212,C0087,2024-08-02,Completed,Net Banking,Bengaluru,Karnataka
O00213,C4150,2024-06-02,Cancelled,Credit Card,Hyderabad,Telangana
O00214,C1752,2024-08-28,Cancelled,Credit Card,Kolkata,West Bengal
O00215,C3421,2023-03-22,Returned,Debit Card,Kolkata,West Bengal
O00216,C4838,2023-09-07,Completed,COD,Bengaluru,Karnataka
O00217,C2484,2025-11-27,Completed,UPI,Noida,Uttar Pradesh
O00218,C3213,2023-02-14,Completed,Credit Card,Nagpur,Maharashtra
O00219,C3923,2023-05-17,Completed,Credit Card,Bengaluru,Karnataka
O00220,C2490,2025-04-02,Completed,COD,Lucknow,Uttar Pradesh
O00221,C1487,2025-09-05,Completed,UPI,Surat,Gujarat
O00222,C3528,2025-03-30,Completed,Debit Card,Jaipur,Rajasthan
O00223,C0073,2024-01-02,Completed,UPI,Jaipur,Rajasthan
O00224,C0725,2023-08-17,Completed,COD,Surat,Gujarat
O00225,C3755,2023-07-02,Completed,UPI,Jaipur,Rajasthan
O00226,C2996,2024-04-11,Completed,Net Banking,Nagpur,Maharashtra
O00227,C4366,2025-04-17,Completed,UPI,Surat,Gujarat
O00228,C0219,2023-07-23,Completed,UPI,Surat,Gujarat
O00229,C0547,2025-09-01,Cancelled,Credit Card,Chandigarh,Chandigarh
O00230,C3730,2024-09-14,Completed,UPI,Surat,Gujarat
O00231,C1969,2025-12-27,Cancelled,Debit Card,Ahmedabad,Gujarat
O00232,C4517,2025-05-18,Cancelled,COD,Nagpur,Maharashtra
O00233,C1260,2024-07-03,Completed,Debit Card,Hyderabad,Telangana
O00234,C2934,2024-08-26,Completed,Net Banking,Bhopal,Madhya Pradesh
O00235,C2510,2025-01-24,Completed,Credit Card,Mumbai,Maharashtra
O00236,C4009,2024-09-19,Cancelled,Net Banking,Noida,Uttar Pradesh
O00237,C4073,2025-10-12,Completed,UPI,Mumbai,Maharashtra
O00238,C4681,2023-04-05,Completed,COD,Chandigarh,Chandigarh
O00239,C1563,2024-11-15,Completed,UPI,Jaipur,Rajasthan
O00240,C2086,2025-03-07,Returned,Credit Card,Lucknow,Uttar Pradesh
O00241,C1790,2024-01-04,Returned,Credit Card,Mumbai,Maharashtra
O00242,C3670,2023-10-06,Completed,COD,Patna,Bihar
O00243,C2482,2023-12-17,Completed,Debit Card,Kolkata,West Bengal
O00244,C3431,2024-02-10,Completed,Credit Card,Chandigarh,Chandigarh
O00245,C0205,2024-03-21,Completed,COD,Bhubaneswar,Odisha
O00246,C0742,2023-11-19,Completed,COD,Bengaluru,Karnataka
O00247,C2889,2024-09-21,Completed,UPI,Pune,Maharashtra
O00248,C3495,2023-03-14,Completed,COD,Chandigarh,Chandigarh
O00249,C4264,2024-06-01,Cancelled,Credit Card,Noida,Uttar Pradesh
O00250,C4738,2023-01-22,Completed,COD,Chandigarh,Chandigarh
O00251,C1106,2023-06-28,Cancelled,UPI,Bhopal,Madhya Pradesh
O00252,C1824,2024-12-08,Completed,UPI,Gurugram,Haryana
O00253,C2648,2025-07-26,Completed,Debit Card,Bhubaneswar,Odisha
O00254,C4198,2025-10-15,Completed,UPI,Bengaluru,Karnataka
O00255,C0089,2025-08-05,Cancelled,Credit Card,Chennai,Tamil Nadu
O00256,C3382,2024-06-14,Completed,Debit Card,Nagpur,Maharashtra
O00257,C4704,2023-12-30,Completed,Debit Card,Bhubaneswar,Odisha
O00258,C3512,2024-02-29,Completed,Debit Card,Nagpur,Maharashtra
O00259,C2207,2025-08-16,Cancelled,Debit Card,Indore,Madhya Pradesh
O00260,C3186,2025-12-07,Returned,UPI,Hyderabad,Telangana
O00261,C4382,2024-11-02,Completed,UPI,Indore,Madhya Pradesh
O00262,C0865,2025-11-19,Completed,COD,Bengaluru,Karnataka
O00263,C0055,2025-10-09,Cancelled,COD,Lucknow,Uttar Pradesh
O00264,C4672,2025-05-28,Completed,UPI,Nagpur,Maharashtra
O00265,C2081,2025-08-04,Completed,COD,Bengaluru,Karnataka
O00266,C0558,2025-09-14,Completed,UPI,Chennai,Tamil Nadu
O00267,C4827,2023-06-01,Completed,UPI,Bhubaneswar,Odisha
O00268,C0993,2023-09-12,Completed,Credit Card,Lucknow,Uttar Pradesh
O00269,C4897,2024-12-03,Completed,Debit Card,Chennai,Tamil Nadu
O00270,C4292,2024-10-15,Completed,UPI,Nagpur,Maharashtra
O00271,C0448,2025-01-27,Completed,COD,Hyderabad,Telangana
O00272,C1822,2025-11-23,Cancelled,Net Banking,Pune,Maharashtra
O00273,C3820,2023-07-06,Completed,Net Banking,Chandigarh,Chandigarh
O00274,C2973,2025-05-28,Completed,UPI,Noida,Uttar Pradesh
O00275,C0092,2024-11-03,Returned,COD,Jaipur,Rajasthan
O00276,C0608,2025-05-25,Completed,Credit Card,Indore,Madhya Pradesh
O00277,C1252,2023-04-28,Completed,Debit Card,Bengaluru,Karnataka
O00278,C0286,2025-12-17,Cancelled,Net Banking,Nagpur,Maharashtra
O00279,C2922,2025-11-07,Completed,Debit Card,Kolkata,West Bengal
O00280,C3307,2025-05-20,Completed,Credit Card,Nagpur,Maharashtra
O00281,C0102,2024-04-02,Cancelled,Credit Card,Bhopal,Madhya Pradesh
O00282,C3836,2024-12-06,Completed,Debit Card,Gurugram,Haryana
O00283,C4236,2024-10-03,Completed,Net Banking,Nagpur,Maharashtra
O00284,C4931,2025-08-23,Completed,COD,Kolkata,West Bengal
O00285,C1679,2023-07-31,Completed,Credit Card,Bhubaneswar,Odisha
O00286,C3824,2024-04-30,Returned,UPI,Surat,Gujarat
O00287,C0535,2025-06-09,Completed,UPI,Gurugram,Haryana
O00288,C0016,2025-10-23,Completed,UPI,Mumbai,Maharashtra
O00289,C0561,2025-09-28,Completed,UPI,Gurugram,Haryana
O00290,C2926,2025-09-11,Completed,Debit Card,Bengaluru,Karnataka
O00291,C2384,2023-12-09,Completed,COD,Gurugram,Haryana
O00292,C0910,2025-12-16,Completed,UPI,Bhubaneswar,Odisha
O00293,C1414,2023-10-21,Returned,COD,Hyderabad,Telangana
O00294,C0119,2023-01-28,Cancelled,Debit Card,Chandigarh,Chandigarh
O00295,C4063,2025-05-08,Completed,Credit Card,Kolkata,West Bengal
O00296,C3114,2024-07-26,Completed,Debit Card,Bengaluru,Karnataka
O00297,C3061,2025-07-16,Completed,COD,Gurugram,Haryana
O00298,C1492,2025-11-21,Cancelled,Credit Card,Chennai,Tamil Nadu
O00299,C2097,2024-02-01,Completed,Credit Card,Bengaluru,Karnataka
O00300,C2255,2025-11-06,Cancelled,UPI,Kochi,Kerala
O00301,C0514,2024-08-23,Cancelled,UPI,Noida,Uttar Pradesh
O00302,C1234,2025-12-11,Completed,Net Banking,Jaipur,Rajasthan
O00303,C4133,2024-01-05,Completed,UPI,Surat,Gujarat
O00304,C1480,2023-06-13,Completed,Debit Card,Kochi,Kerala
O00305,C3350,2024-03-25,Cancelled,Net Banking,Surat,Gujarat
O00306,C1541,2024-06-27,Completed,COD,Chandigarh,Chandigarh
O00307,C0130,2024-12-10,Cancelled,UPI,Hyderabad,Telangana
O00308,C3717,2023-12-17,Cancelled,COD,Nagpur,Maharashtra
O00309,C3744,2024-01-14,Completed,Debit Card,Gurugram,Haryana
O00310,C1772,2023-07-20,Completed,UPI,Noida,Uttar Pradesh
O00311,C4455,2024-05-19,Completed,Debit Card,Chandigarh,Chandigarh
O00312,C3076,2025-10-08,Completed,COD,Nagpur,Maharashtra
O00313,C0506,2025-11-17,Completed,UPI,Nagpur,Maharashtra
O00314,C4914,2023-12-03,Completed,COD,Noida,Uttar Pradesh
O00315,C4890,2023-10-14,Cancelled,UPI,Chennai,Tamil Nadu
O00316,C0839,2024-09-22,Returned,Credit Card,Chennai,Tamil Nadu
O00317,C3872,2025-11-20,Completed,UPI,Bengaluru,Karnataka
O00318,C4719,2024-10-27,Completed,Debit Card,Indore,Madhya Pradesh
O00319,C2677,2023-04-17,Completed,UPI,Hyderabad,Telangana
O00320,C0097,2024-05-20,Completed,UPI,Mumbai,Maharashtra
O00321,C1964,2023-04-27,Completed,UPI,Lucknow,Uttar Pradesh
O00322,C2867,2023-03-20,Completed,COD,Indore,Madhya Pradesh
O00323,C4027,2025-01-10,Completed,UPI,Pune,Maharashtra
O00324,C0599,2023-01-23,Completed,Debit Card,Indore,Madhya Pradesh
O00325,C2982,2023-12-27,Returned,Debit Card,Gurugram,Haryana
O00326,C3964,2024-11-30,Completed,UPI,Chandigarh,Chandigarh
O00327,C0429,2023-08-05,Returned,Credit Card,Chandigarh,Chandigarh
O00328,C3782,2025-09-16,Completed,Credit Card,Bengaluru,Karnataka
O00329,C1325,2024-12-07,Completed,Credit Card,Mumbai,Maharashtra
O00330,C2591,2024-09-19,Completed,Net Banking,Surat,Gujarat
O00331,C2415,2024-07-20,Completed,UPI,Kochi,Kerala
O00332,C1768,2024-03-18,Completed,COD,Delhi,Delhi
O00333,C1517,2024-04-03,Completed,COD,Bhubaneswar,Odisha
O00334,C1340,2023-05-24,Completed,UPI,Noida,Uttar Pradesh
O00335,C4095,2023-11-10,Completed,Debit Card,Hyderabad,Telangana
O00336,C4660,2025-05-24,Completed,Debit Card,Mumbai,Maharashtra
O00337,C3404,2024-12-29,Completed,Credit Card,Kochi,Kerala
O00338,C2547,2024-09-30,Completed,Credit Card,Ahmedabad,Gujarat
O00339,C0977,2024-04-18,Completed,UPI,Kochi,Kerala
O00340,C1615,2024-11-15,Completed,Debit Card,Chandigarh,Chandigarh
O00341,C1585,2024-08-28,Completed,UPI,Jaipur,Rajasthan
O00342,C4062,2025-06-20,Returned,Credit Card,Ahmedabad,Gujarat
O00343,C4652,2023-10-02,Completed,COD,Bhopal,Madhya Pradesh
O00344,C1271,2025-01-21,Completed,UPI,Mumbai,Maharashtra
O00345,C0219,2023-08-05,Completed,Credit Card,Surat,Gujarat
O00346,C0534,2024-11-06,Completed,Credit Card,Lucknow,Uttar Pradesh
O00347,C1496,2024-12-10,Completed,UPI,Indore,Madhya Pradesh
O00348,C1374,2025-07-11,Completed,Credit Card,Chennai,Tamil Nadu
O00349,C4140,2024-02-12,Completed,UPI,Nagpur,Maharashtra
O00350,C3824,2023-05-28,Completed,Credit Card,Surat,Gujarat
O00351,C3950,2024-05-17,Completed,Credit Card,Gurugram,Haryana
O00352,C0065,2023-08-20,Completed,Credit Card,Ahmedabad,Gujarat
O00353,C4342,2024-05-12,Completed,UPI,Ahmedabad,Gujarat
O00354,C3143,2024-02-27,Completed,UPI,Kochi,Kerala
O00355,C1725,2023-09-04,Cancelled,Debit Card,Noida,Uttar Pradesh
O00356,C2206,2023-04-15,Completed,UPI,Nagpur,Maharashtra
O00357,C2986,2023-08-22,Completed,UPI,Lucknow,Uttar Pradesh
O00358,C3914,2024-04-19,Completed,COD,Delhi,Delhi
O00359,C1049,2025-09-30,Completed,UPI,Bengaluru,Karnataka
O00360,C3655,2025-01-28,Completed,Credit Card,Nagpur,Maharashtra
O00361,C2873,2025-05-24,Cancelled,Debit Card,Mumbai,Maharashtra
O00362,C4256,2023-04-22,Completed,UPI,Indore,Madhya Pradesh
O00363,C1005,2023-01-23,Completed,UPI,Patna,Bihar
O00364,C2123,2025-07-25,Completed,Credit Card,Patna,Bihar
O00365,C4575,2023-11-11,Cancelled,UPI,Indore,Madhya Pradesh
O00366,C3982,2023-07-21,Completed,UPI,Kochi,Kerala
O00367,C4483,2024-09-09,Completed,UPI,Bhubaneswar,Odisha
O00368,C0472,2024-08-28,Completed,UPI,Nagpur,Maharashtra
O00369,C3406,2025-09-21,Cancelled,Net Banking,Nagpur,Maharashtra
O00370,C0309,2023-01-25,Completed,UPI,Mumbai,Maharashtra
O00371,C2935,2024-10-18,Completed,Credit Card,Indore,Madhya Pradesh
O00372,C4797,2024-06-14,Completed,Credit Card,Patna,Bihar
O00373,C3048,2023-02-15,Completed,Credit Card,Chandigarh,Chandigarh
O00374,C1922,2025-11-24,Completed,Credit Card,Hyderabad,Telangana
O00375,C3000,2023-07-21,Cancelled,Debit Card,Nagpur,Maharashtra
O00376,C2018,2023-12-31,Completed,COD,Surat,Gujarat
O00377,C4882,2024-04-14,Completed,UPI,Nagpur,Maharashtra
