order_item_id,order_id,product_id,quantity,discount,unit_price
OI000144,O00074,P0001,1,0.0,2221.48
OI000145,O00075,P0221,1,0.2,703.03
OI000146,O00075,P0049,2,0.1,1929.71
OI000147,O00075,P0016,1,0.0,262.26
OI000148,O00076,P0289,1,0.05,19514.61
OI000149,O00076,P0423,1,0.1,3929.19
OI000150,O00076,P0322,1,0.15,59666.87
OI000151,O00077,P0290,1,0.0,554.76
OI000152,O00078,P0297,1,0.0,1396.46
OI000153,O00078,P0202,1,0.0,636.25
OI000154,O00078,P0425,1,0.0,52302.1
OI000155,O00078,P0382,2,0.0,2881.37
OI000156,O00079,P0380,1,0.0,1794.34
OI000157,O00079,P0202,1,0.05,636.25
OI000158,O00080,P0454,2,0.1,1861.69
OI000159,O00080,P0225,2,0.15,2755.46
OI000160,O00081,P0044,1,0.15,59238.58
OI000161,O00082,P0025,3,0.05,6316.68
OI000162,O00083,P0020,2,0.05,3651.62
OI000163,O00084,P0072,1,0.05,1219.15
OI000164,O00084,P0234,2,0.0,2137.17
OI000165,O00085,P0203,1,0.05,6941.86
OI000166,O00085,P0177,2,0.1,1206.8
OI000167,O00085,P0229,2,0.05,50444.39
OI000168,O00086,P0333,3,0.0,13799.36
OI000169,O00087,P0460,2,0.2,1837.81
OI000170,O00087,P0061,1,0.0,58728.26
OI000171,O00087,P0110,1,0.05,331.8
OI000172,O00088,P0262,2,0.05,1477.11
OI000173,O00088,P0328,1,0.05,8216.24
OI000174,O00088,P0244,1,0.0,330.32
OI000175,O00089,P0393,3,0.0,2067.81
OI000176,O00089,P0114,1,0.0,6369.07
OI000177,O00089,P0496,1,0.0,2384.01
OI000178,O00090,P0468,1,0.0,698.97
OI000179,O00090,P0119,1,0.05,1722.52
OI000180,O00091,P0422,1,0.1,246.11
OI000181,O00091,P0437,1,0.2,8041.97
OI000182,O00091,P0002,1,0.15,513.95
OI000183,O00092,P0266,1,0.05,5324.42
OI000184,O00092,P0386,1,0.05,748.87
OI000185,O00092,P0499,1,0.15,726.92
OI000186,O00093,P0251,1,0.1,7516.78
OI000187,O00093,P0207,1,0.05,853.02
OI000188,O00094,P0312,2,0.0,18439.02
OI000189,O00094,P0439,1,0.1,13006.62
OI000190,O00094,P0481,2,0.0,822.86
OI000191,O00095,P0051,1,0.0,2625.06
OI000192,O00096,P0134,1,0.1,28242.38
OI000193,O00096,P0162,2,0.0,1803.31
OI000194,O00097,P0078,1,0.0,2405.45
OI000195,O00098,P0348,1,0.15,753.48
OI000196,O00098,P0056,1,0.05,9462.21
OI000197,O00098,P0335,1,0.0,8417.61
OI000198,O00099,P0125,1,0.0,22069.6
OI000199,O00100,P0123,1,0.0,465.89
OI000200,O00101,P0076,1,0.0,14654.36
OI000201,O00102,P0294,2,0.1,7542.56
OI000202,O00103,P0257,2,0.05,6170.04
OI000203,O00103,P0358,3,0.05,3913.07
OI000204,O00103,P0371,1,0.1,33964.89
OI000205,O00104,P0433,1,0.1,290.0
OI000206,O00104,P0190,1,0.05,538.75
OI000207,O00104,P0107,2,0.15,1050.76
OI000208,O00104,P0158,3,0.1,24323.4
OI000209,O00105,P0401,1,0.0,1273.49
OI000210,O00105,P0355,1,0.0,30819.58
OI000211,O00105,P0040,1,0.0,2156.77
OI000212,O00106,P0058,1,0.0,3095.61
OI000213,O00107,P0124,1,0.05,47376.71
OI000214,O00108,P0208,1,0.2,7158.46
OI000215,O00109,P0451,1,0.05,918.1
OI000216,O00109,P0303,1,0.0,5181.97
OI000217,O00109,P0496,1,0.2,2384.01
OI000218,O00110,P0449,1,0.15,1299.7
OI000219,O00111,P0064,1,0.1,1182.06
OI000220,O00111,P0402,2,0.0,1263.86
OI000221,O00111,P0295,1,0.0,5850.73
OI000222,O00112,P0039,1,0.05,622.9
OI000223,O00112,P0046,1,0.05,2162.01
OI000224,O00112,P0437,1,0.0,8041.97
OI000225,O00113,P0337,1,0.05,1754.01
OI000226,O00114,P0193,1,0.05,5119.8
OI000227,O00114,P0271,1,0.1,6601.9
OI000228,O00115,P0344,1,0.2,4557.36
OI000229,O00116,P0010,1,0.0,800.98
OI000230,O00117,P0242,1,0.05,3997.68
OI000231,O00117,P0193,1,0.0,5119.8
OI000232,O00118,P0460,1,0.1,1837.81
OI000233,O00118,P0356,2,0.0,1479.73
OI000234,O00118,P0191,3,0.1,824.8
OI000235,O00119,P0368,1,0.05,16305.93
OI000236,O00119,P0124,2,0.1,47376.71
OI000237,O00119,P0357,1,0.1,440.52
OI000238,O00120,P0171,1,0.0,984.75
OI000239,O00121,P0192,3,0.0,1517.14
OI000240,O00122,P0345,2,0.1,305.98
OI000241,O00122,P0225,1,0.0,2755.46
OI000242,O00123,P0342,1,0.1,817.78
OI000243,O00124,P0088,1,0.05,499.34
OI000244,O00125,P0264,1,0.1,503.48
OI000245,O00125,P0249,3,0.1,3213.44
OI000246,O00125,P0470,2,0.15,313.24
OI000247,O00126,P0168,1,0.15,4535.55
OI000248,O00126,P0162,1,0.05,1803.31
OI000249,O00126,P0370,1,0.1,752.51
OI000250,O00127,P0203,1,0.1,6941.86
OI000251,O00127,P0314,1,0.15,1071.23
OI000252,O00128,P0035,1,0.0,2616.7
OI000253,O00128,P0476,1,0.05,488.59
OI000254,O00128,P0083,2,0.15,4107.0
OI000255,O00129,P0493,2,0.0,1215.23
OI000256,O00129,P0425,1,0.0,52302.1
OI000257,O00130,P0142,1,0.05,1218.35
OI000258,O00130,P0465,2,0.0,5684.87
OI000259,O00130,P0354,1,0.0,663.27
OI000260,O00131,P0484,1,0.05,26965.87
OI000261,O00132,P0449,1,0.05,1299.7
OI000262,O00132,P0242,2,0.1,3997.68
OI000263,O00132,P0483,1,0.15,19926.29
OI000264,O00132,P0012,1,0.05,2155.18
OI000265,O00133,P0450,1,0.15,25662.52
OI000266,O00133,P0085,2,0.15,25792.46
OI000267,O00133,P0177,2,0.1,1206.8
OI000268,O00134,P0498,2,0.0,867.26
OI000269,O00134,P0023,1,0.05,4138.83
OI000270,O00134,P0128,2,0.0,43166.92
OI000271,O00135,P0464,1,0.2,1359.18
OI000272,O00135,P0187,1,0.0,7734.02
OI000273,O00136,P0160,1,0.1,1481.54
OI000274,O00136,P0136,1,0.0,487.17
OI000275,O00137,P0008,1,0.1,2014.16
OI000276,O00138,P0068,1,0.1,1256.22
OI000277,O00139,P0078,2,0.05,2405.45
OI000278,O00140,P0148,1,0.0,19839.55
OI000279,O00141,P0486,1,0.1,824.11
OI000280,O00141,P0308,1,0.1,9828.42
OI000281,O00142,P0070,1,0.0,1249.39
OI000282,O00143,P0296,1,0.05,346.42
OI000283,O00144,P0234,1,0.05,2137.17
OI000284,O00145,P0263,1,0.0,2111.79
OI000285,O00145,P0091,2,0.0,2512.11
OI000286,O00146,P0168,1,0.15,4535.55
OI000287,O00146,P0495,3,0.15,1480.7
OI000288,O00147,P0069,1,0.0,1542.85
OI000289,O00148,P0361,1,0.0,55858.93
OI000290,O00149,P0002,1,0.0,513.95
OI000291,O00149,P0484,1,0.1,26965.87
OI000292,O00150,P0143,3,0.15,3580.52
OI000293,O00151,P0391,1,0.05,465.53
OI000294,O00151,P0452,1,0.05,3198.39
OI000295,O00151,P0479,1,0.1,2997.38
OI000296,O00152,P0468,1,0.1,698.97
OI000297,O00152,P0049,1,0.1,1929.71
OI000298,O00153,P0138,2,0.0,23653.68
OI000299,O00154,P0440,1,0.15,1150.47
OI000300,O00154,P0365,1,0.0,307.23
OI000301,O00154,P0055,1,0.0,1049.0
OI000302,O00155,P0212,1,0.1,1982.97
OI000303,O00156,P0076,1,0.0,14654.36
OI000304,O00156,P0308,3,0.0,9828.42
OI000305,O00157,P0385,1,0.15,2810.29
OI000306,O00157,P0361,1,0.05,55858.93
OI000307,O00158,P0091,1,0.05,2512.11
OI000308,O00159,P0282,1,0.0,31404.57
OI000309,O00159,P0390,1,0.05,892.03
OI000310,O00160,P0082,2,0.1,728.72
OI000311,O00160,P0446,1,0.0,4963.89
OI000312,O00161,P0046,3,0.15,2162.01
OI000313,O00161,P0095,1,0.1,789.39
OI000314,O00161,P0285,2,0.05,26941.99
OI000315,O00162,P0434,1,0.05,54889.94
OI000316,O00162,P0188,1,0.0,1304.41
OI000317,O00163,P0410,2,0.05,15658.55
OI000318,O00163,P0372,1,0.0,1030.81
OI000319,O00164,P0266,1,0.15,5324.42
OI000320,O00164,P0073,3,0.0,4141.58
OI000321,O00164,P0338,2,0.2,1804.55
OI000322,O00165,P0382,1,0.05,2881.37
OI000323,O00166,P0219,1,0.15,1529.74
OI000324,O00166,P0121,3,0.1,38144.64
OI000325,O00166,P0082,2,0.0,728.72
OI000326,O00167,P0220,2,0.05,1748.58
OI000327,O00167,P0342,2,0.0,817.78
OI000328,O00167,P0020,1,0.1,3651.62
OI000329,O00168,P0118,1,0.05,665.22
OI000330,O00168,P0033,1,0.05,640.81
OI000331,O00169,P0276,2,0.0,7190.17
OI000332,O00170,P0248,2,0.15,2340.7
OI000333,O00170,P0311,2,0.1,27175.09
OI000334,O00171,P0079,1,0.05,28501.73
OI000335,O00171,P0338,1,0.0,1804.55
OI000336,O00171,P0095,1,0.05,789.39
OI000337,O00172,P0179,3,0.2,557.58
OI000338,O00172,P0459,1,0.05,40802.45
OI000339,O00173,P0253,1,0.2,6467.57
OI000340,O00173,P0329,2,0.05,15448.51
OI000341,O00173,P0300,2,0.05,1511.88
OI000342,O00174,P0329,2,0.05,15448.51
OI000343,O00175,P0213,1,0.0,654.12
OI000344,O00176,P0227,1,0.1,859.27
OI000345,O00177,P0435,1,0.15,663.02
OI000346,O00177,P0165,1,0.05,1862.7
OI000347,O00178,P0201,3,0.0,26384.4
OI000348,O00179,P0472,1,0.0,4464.22
OI000349,O00179,P0327,1,0.05,14900.19
OI000350,O00179,P0075,1,0.0,1749.09
OI000351,O00180,P0021,3,0.15,553.83
OI000352,O00181,P0281,1,0.0,56642.72
OI000353,O00181,P0459,2,0.0,40802.45
OI000354,O00182,P0277,1,0.0,1152.38
OI000355,O00183,P0490,3,0.0,5181.92
OI000356,O00183,P0137,1,0.0,14168.04
OI000357,O00183,P0072,2,0.05,1219.15
OI000358,O00183,P0020,1,0.1,3651.62
OI000359,O00184,P0218,1,0.0,7588.13
OI000360,O00184,P0386,1,0.05,748.87
OI000361,O00184,P0078,3,0.0,2405.45
OI000362,O00185,P0422,1,0.2,246.11
OI000363,O00186,P0155,1,0.05,5761.42
OI000364,O00186,P0283,2,0.0,55510.24
OI000365,O00187,P0330,3,0.0,681.81
OI000366,O00187,P0347,3,0.0,4872.63
OI000367,O00188,P0346,2,0.15,1031.36
OI000368,O00189,P0322,2,0.15,59666.87
OI000369,O00189,P0088,1,0.15,499.34
OI000370,O00190,P0445,2,0.15,5409.5
OI000371,O00191,P0137,1,0.2,14168.04
OI000372,O00192,P0259,1,0.15,2026.88
OI000373,O00192,P0080,1,0.0,412.72
OI000374,O00193,P0029,1,0.0,1061.1
OI000375,O00193,P0387,1,0.05,4102.62
OI000376,O00193,P0169,2,0.0,54527.7
OI000377,O00193,P0361,1,0.1,55858.93
OI000378,O00194,P0017,1,0.0,3788.75
OI000379,O00194,P0285,1,0.0,26941.99
OI000380,O00194,P0206,1,0.05,457.31
OI000381,O00194,P0482,2,0.05,1036.66
OI000382,O00195,P0196,1,0.15,11656.68
OI000383,O00195,P0185,1,0.0,2348.45
OI000384,O00195,P0447,3,0.05,1613.98
OI000385,O00196,P0349,1,0.0,1332.36
OI000386,O00197,P0398,1,0.0,906.48
OI000387,O00197,P0378,1,0.05,4244.37
OI000388,O00197,P0322,3,0.15,59666.87
OI000389,O00198,P0180,1,0.0,846.25
OI000390,O00198,P0388,2,0.1,32427.23
OI000391,O00198,P0495,1,0.0,1480.7
OI000392,O00199,P0399,1,0.0,1978.06
OI000393,O00199,P0431,1,0.0,8875.25
OI000394,O00200,P0224,3,0.0,45439.97
OI000395,O00201,P0446,2,0.05,4963.89
OI000396,O00201,P0191,1,0.05,824.8
OI000397,O00201,P0100,1,0.05,14238.78
OI000398,O00202,P0312,1,0.05,18439.02
OI000399,O00203,P0067,1,0.15,1109.82
OI000400,O00203,P0236,1,0.1,305.07
OI000401,O00204,P0459,2,0.0,40802.45
OI000402,O00204,P0355,1,0.05,30819.58
OI000403,O00205,P0099,1,0.0,15652.05
OI000404,O00205,P0014,1,0.1,521.11
OI000405,O00206,P0448,1,0.0,1972.56
OI000406,O00206,P0281,1,0.0,56642.72
OI000407,O00206,P0121,1,0.1,38144.64
OI000408,O00207,P0430,2,0.0,5111.31
OI000409,O00208,P0480,2,0.1,5481.31
OI000410,O00208,P0120,1,0.0,3967.34
OI000411,O00209,P0085,1,0.15,25792.46
OI000412,O00209,P0316,1,0.15,693.55
OI000413,O00209,P0304,2,0.15,24265.75
OI000414,O00210,P0100,1,0.0,14238.78
OI000415,O00210,P0255,1,0.0,2334.66
OI000416,O00211,P0193,1,0.1,5119.8
OI000417,O00211,P0411,2,0.0,3236.93
OI000418,O00212,P0231,1,0.0,4433.33
OI000419,O00213,P0159,3,0.2,44698.32
OI000420,O00214,P0065,3,0.0,937.04
OI000421,O00214,P0482,1,0.15,1036.66
OI000422,O00215,P0399,1,0.15,1978.06
OI000423,O00216,P0331,1,0.05,23081.69
OI000424,O00216,P0273,1,0.0,795.86
OI000425,O00217,P0043,1,0.15,23038.21
OI000426,O00218,P0335,2,0.05,8417.61
OI000427,O00218,P0114,2,0.2,6369.07
OI000428,O00219,P0318,1,0.1,1980.12
OI000429,O00220,P0151,1,0.0,2452.36
OI000430,O00221,P0280,1,0.1,1675.72
OI000431,O00221,P0247,1,0.0,1145.5
OI000432,O00221,P0477,1,0.2,892.78
OI000433,O00222,P0151,2,0.1,2452.36
OI000434,O00222,P0461,1,0.0,21095.88
OI000435,O00222,P0281,2,0.1,56642.72
OI000436,O00223,P0204,2,0.0,270.24
OI000437,O00224,P0477,2,0.15,892.78
OI000438,O00225,P0111,1,0.0,16996.49
OI000439,O00225,P0017,1,0.05,3788.75
OI000440,O00226,P0251,2,0.0,7516.78
OI000441,O00226,P0379,2,0.15,770.51
OI000442,O00227,P0269,1,0.0,1020.48
OI000443,O00227,P0132,1,0.15,44561.15
OI000444,O00228,P0443,2,0.1,754.99
OI000445,O00229,P0440,1,0.05,1150.47
OI000446,O00230,P0358,2,0.05,3913.07
OI000447,O00231,P0357,1,0.1,440.52
OI000448,O00232,P0433,2,0.05,290.0
OI000449,O00233,P0271,2,0.05,6601.9
OI000450,O00233,P0456,1,0.1,13727.92
OI000451,O00233,P0446,1,0.15,4963.89
OI000452,O00234,P0208,3,0.05,7158.46
OI000453,O00235,P0220,1,0.05,1748.58
OI000454,O00236,P0435,1,0.0,663.02
OI000455,O00236,P0267,1,0.15,925.93
OI000456,O00237,P0317,2,0.05,3755.68
OI000457,O00237,P0270,2,0.0,910.01
OI000458,O00237,P0456,1,0.05,13727.92
OI000459,O00237,P0491,1,0.0,25885.36
OI000460,O00238,P0306,1,0.15,3504.79
OI000461,O00238,P0022,1,0.05,1878.17
OI000462,O00238,P0494,2,0.05,6687.28
OI000463,O00238,P0254,1,0.0,19575.47
OI000464,O00239,P0191,2,0.0,824.8
OI000465,O00239,P0232,1,0.05,769.0
OI000466,O00240,P0047,2,0.05,1187.32
OI000467,O00241,P0120,2,0.0,3967.34
OI000468,O00242,P0048,1,0.1,38046.26
OI000469,O00243,P0142,2,0.0,1218.35
OI000470,O00244,P0055,2,0.15,1049.0
OI000471,O00244,P0187,2,0.0,7734.02
OI000472,O00244,P0412,1,0.0,2807.84
OI000473,O00245,P0090,2,0.15,1508.51
OI000474,O00245,P0485,1,0.0,564.63
OI000475,O00245,P0141,3,0.0,2239.37
OI000476,O00245,P0010,2,0.15,800.98
OI000477,O00246,P0443,1,0.15,754.99
OI000478,O00247,P0149,1,0.05,19302.4
OI000479,O00248,P0276,2,0.05,7190.17
OI000480,O00248,P0480,2,0.1,5481.31
OI000481,O00248,P0370,2,0.0,752.51
OI000482,O00249,P0046,1,0.0,2162.01
OI000483,O00249,P0243,2,0.05,1507.96
OI000484,O00250,P0306,1,0.15,3504.79
OI000485,O00250,P0136,1,0.15,487.17
OI000486,O00250,P0106,1,0.0,4136.32
OI000487,O00251,P0107,1,0.05,1050.76
OI000488,O00251,P0496,1,0.0,2384.01
OI000489,O00251,P0130,1,0.15,5536.61
OI000490,O00252,P0409,1,0.1,388.5
OI000491,O00253,P0105,1,0.1,735.98
OI000492,O00253,P0169,2,0.15,54527.7
OI000493,O00254,P0133,1,0.1,2233.69
OI000494,O00254,P0423,2,0.0,3929.19
OI000495,O00255,P0274,1,0.2,49610.04
OI000496,O00255,P0499,1,0.0,726.92
OI000497,O00256,P0062,2,0.05,27641.39
OI000498,O00257,P0318,2,0.1,1980.12
OI000499,O00257,P0163,1,0.15,1439.63
OI000500,O00257,P0116,1,0.0,30307.3
OI000501,O00258,P0058,1,0.1,3095.61
OI000502,O00258,P0496,3,0.15,2384.01
OI000503,O00258,P0446,1,0.1,4963.89
OI000504,O00259,P0020,1,0.0,3651.62
OI000505,O00260,P0183,1,0.05,1116.66
OI000506,O00261,P0082,2,0.0,728.72
OI000507,O00262,P0155,1,0.0,5761.42
OI000508,O00262,P0474,2,0.15,9019.97
OI000509,O00262,P0486,1,0.1,824.11
OI000510,O00263,P0061,1,0.0,58728.26
OI000511,O00264,P0190,1,0.15,538.75
OI000512,O00264,P0020,1,0.1,3651.62
OI000513,O00265,P0058,1,0.05,3095.61
OI000514,O00266,P0098,1,0.1,1840.64
OI000515,O00266,P0127,1,0.05,7740.06
OI000516,O00267,P0487,2,0.15,2017.04
OI000517,O00268,P0148,2,0.05,19839.55
OI000518,O00269,P0061,1,0.15,58728.26
OI000519,O00269,P0100,3,0.1,14238.78
OI000520,O00269,P0028,1,0.15,41867.45
OI000521,O00270,P0452,1,0.05,3198.39
OI000522,O00271,P0305,2,0.05,1088.95
OI000523,O00272,P0084,2,0.1,486.41
OI000524,O00273,P0352,1,0.05,26913.75
OI000525,O00273,P0029,1,0.05,1061.1
OI000526,O00274,P0302,1,0.1,2111.29
OI000527,O00275,P0262,1,0.0,1477.11
OI000528,O00275,P0193,2,0.0,5119.8
OI000529,O00275,P0243,1,0.1,1507.96
OI000530,O00276,P0202,2,0.0,636.25
OI000531,O00277,P0005,1,0.0,1277.7
OI000532,O00277,P0310,1,0.15,4838.53
OI000533,O00277,P0076,3,0.05,14654.36
OI000534,O00278,P0267,1,0.15,925.93
OI000535,O00279,P0242,1,0.05,3997.68
OI000536,O00279,P0116,1,0.05,30307.3
OI000537,O00280,P0429,3,0.1,13557.49
OI000538,O00280,P0186,2,0.05,3655.57
OI000539,O00280,P0289,1,0.0,19514.61
OI000540,O00281,P0231,1,0.0,4433.33
OI000541,O00282,P0107,2,0.0,1050.76
OI000542,O00282,P0423,1,0.0,3929.19
OI000543,O00282,P0493,2,0.05,1215.23
OI000544,O00282,P0348,1,0.1,753.48
OI000545,O00283,P0453,2,0.15,48739.67
OI000546,O00283,P0295,1,0.0,5850.73
OI000547,O00284,P0275,1,0.1,253.55
OI000548,O00284,P0043,1,0.15,23038.21
OI000549,O00284,P0495,2,0.1,1480.7
OI000550,O00285,P0139,1,0.05,400.3
OI000551,O00285,P0462,1,0.0,2389.96
OI000552,O00286,P0390,1,0.2,892.03
OI000553,O00287,P0220,2,0.15,1748.58
OI000554,O00288,P0276,2,0.0,7190.17
OI000555,O00289,P0192,2,0.0,1517.14
OI000556,O00289,P0014,1,0.0,521.11
OI000557,O00290,P0003,2,0.2,1017.51
OI000558,O00290,P0053,1,0.05,758.66
OI000559,O00291,P0317,1,0.1,3755.68
OI000560,O00291,P0171,1,0.15,984.75
OI000561,O00291,P0226,2,0.15,50755.26
OI000562,O00291,P0203,2,0.2,6941.86
OI000563,O00292,P0368,2,0.0,16305.93
OI000564,O00292,P0488,2,0.1,39842.04
OI000565,O00292,P0140,1,0.1,6520.36
OI000566,O00293,P0024,1,0.0,1887.37
OI000567,O00293,P0049,1,0.1,1929.71
OI000568,O00293,P0353,1,0.05,38873.51
OI000569,O00294,P0104,2,0.05,3379.66
OI000570,O00295,P0253,1,0.1,6467.57
OI000571,O00296,P0042,1,0.1,17353.98
OI000572,O00297,P0361,3,0.1,55858.93
OI000573,O00297,P0308,3,0.15,9828.42
OI000574,O00298,P0262,1,0.05,1477.11
OI000575,O00299,P0421,2,0.0,55926.33
OI000576,O00300,P0048,1,0.0,38046.26
OI000577,O00300,P0475,1,0.15,574.51
OI000578,O00301,P0202,2,0.0,636.25
OI000579,O00302,P0213,1,0.05,654.12
OI000580,O00302,P0485,1,0.15,564.63
OI000581,O00302,P0306,1,0.0,3504.79
OI000582,O00303,P0404,1,0.05,2441.23
OI000583,O00303,P0225,1,0.0,2755.46
OI000584,O00304,P0302,2,0.0,2111.29
OI000585,O00305,P0167,1,0.0,3698.11
OI000586,O00305,P0450,1,0.15,25662.52
