payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY00067,O00067,2024-03-28,UPI,Success,2137.93
PAY00068,O00068,2024-02-18,Net Banking,Success,7288.66
PAY00069,O00069,2024-08-28,COD,Success,10260.8
PAY00070,O00070,2025-08-18,Credit Card,Success,4417.68
PAY00071,O00071,2023-07-07,UPI,Success,41756.76
PAY00072,O00072,2023-02-20,Credit Card,Refunded,16847.14
PAY00073,O00073,2025-11-30,Debit Card,Failed,6601.9
PAY00074,O00074,2023-12-22,UPI,Success,17844.34
PAY00075,O00075,2023-12-29,Net Banking,Success,4298.16
PAY00076,O00076,2024-06-19,Debit Card,Success,72791.99
PAY00077,O00077,2023-02-05,Net Banking,Success,554.76
PAY00078,O00078,2023-10-06,Credit Card,Success,60097.55
PAY00079,O00079,2025-10-07,Debit Card,Success,2398.78
PAY00080,O00080,2023-07-01,Credit Card,Success,8035.32
PAY00081,O00081,2024-04-16,UPI,Success,50352.79
PAY00082,O00082,2024-02-21,COD,Failed,18002.54
PAY00083,O00083,2025-06-09,Credit Card,Success,6938.08
PAY00084,O00084,2024-02-09,Credit Card,Failed,5432.53
PAY00085,O00085,2024-05-29,UPI,Success,104611.35
PAY00086,O00086,2024-07-20,Credit Card,Success,41398.08
PAY00087,O00087,2024-03-17,Debit Card,Success,61983.97
PAY00088,O00088,2025-09-18,Debit Card,Success,10942.26
PAY00089,O00089,2025-12-07,COD,Success,14956.51
PAY00090,O00090,2023-03-16,Net Banking,Success,2335.36
PAY00091,O00091,2024-02-10,Credit Card,Success,7091.93
PAY00092,O00092,2023-01-05,UPI,Success,6387.51
PAY00093,O00093,2025-10-31,Credit Card,Success,7575.47
PAY00094,O00094,2024-05-29,UPI,Success,50229.72
PAY00095,O00095,2024-06-24,Debit Card,Refunded,2625.06
PAY00096,O00096,2023-10-18,Credit Card,Failed,29024.76
PAY00097,O00097,2023-06-30,UPI,Success,2405.45
PAY00098,O00098,2023-09-24,COD,Success,18047.17
PAY00099,O00099,2023-03-25,Debit Card,Success,22069.6
PAY00100,O00100,2023-09-16,UPI,Success,465.89
PAY00101,O00101,2025-08-08,UPI,Success,14654.36
PAY00102,O00102,2023-07-18,COD,Success,13576.61
PAY00103,O00103,2024-10-09,Credit Card,Success,53443.73
PAY00104,O00104,2023-09-25,Net Banking,Failed,68232.28
PAY00105,O00105,2025-09-23,Credit Card,Success,34249.84
PAY00106,O00106,2025-05-19,UPI,Refunded,3095.61
PAY00107,O00107,2025-01-02,Credit Card,Success,45007.87
PAY00108,O00108,2025-05-10,UPI,Success,5726.77
PAY00109,O00109,2023-01-21,COD,Failed,7961.37
PAY00110,O00110,2024-01-08,Debit Card,Refunded,1104.75
PAY00111,O00111,2025-11-14,Net Banking,Success,9442.3
PAY00112,O00112,2024-09-12,Debit Card,Success,10687.63
PAY00113,O00113,2024-10-05,UPI,Failed,1666.31
PAY00114,O00114,2024-01-14,Credit Card,Success,10805.52
PAY00115,O00115,2025-03-29,Credit Card,Success,3645.89
PAY00116,O00116,2025-04-05,COD,Success,800.98
PAY00117,O00117,2023-03-31,Credit Card,Success,8917.6
PAY00118,O00118,2023-05-26,Credit Card,Success,6840.45
PAY00119,O00119,2024-09-14,UPI,Success,101165.18
PAY00120,O00120,2025-05-15,UPI,Success,984.75
PAY00121,O00121,2023-07-25,Credit Card,Success,4551.42
PAY00122,O00122,2025-05-14,Debit Card,Refunded,3306.22
PAY00123,O00123,2023-06-03,Credit Card,Success,736.0
PAY00124,O00124,2024-06-12,Credit Card,Refunded,474.37
PAY00125,O00125,2023-12-05,UPI,Failed,9661.93
PAY00126,O00126,2025-01-19,Debit Card,Success,6245.62
PAY00127,O00127,2025-12-17,UPI,Success,7158.22
PAY00128,O00128,2024-07-11,Credit Card,Success,10062.76
PAY00129,O00129,2025-01-23,UPI,Success,54732.56
PAY00130,O00130,2025-07-20,Credit Card,Success,13190.44
PAY00131,O00131,2024-07-05,UPI,Success,25617.58
PAY00132,O00132,2023-04-10,Net Banking,Failed,27415.31
PAY00133,O00133,2025-03-05,Credit Card,Success,67832.56
PAY00134,O00134,2024-02-28,Debit Card,Success,92000.25
PAY00135,O00135,2023-03-22,COD,Success,8821.36
PAY00136,O00136,2023-10-16,UPI,Success,1820.56
PAY00137,O00137,2025-04-26,Credit Card,Success,1812.74
PAY00138,O00138,2023-06-20,COD,Success,1130.6
PAY00139,O00139,2023-03-12,Credit Card,Success,4570.35
PAY00140,O00140,2023-09-20,Credit Card,Failed,19839.55
PAY00141,O00141,2024-12-14,UPI,Success,9587.28
PAY00142,O00142,2024-12-23,Credit Card,Success,1249.39
PAY00143,O00143,2024-06-15,Debit Card,Success,329.1
PAY00144,O00144,2025-02-23,UPI,Success,2030.31
PAY00145,O00145,2023-07-31,Credit Card,Success,7136.01
PAY00146,O00146,2023-04-29,Credit Card,Failed,7631.0
PAY00147,O00147,2024-09-07,COD,Success,1542.85
PAY00148,O00148,2023-11-11,Credit Card,Success,55858.93
PAY00149,O00149,2023-01-11,Net Banking,Success,24783.23
PAY00150,O00150,2025-12-11,Credit Card,Success,9130.33
PAY00151,O00151,2025-10-28,Debit Card,Success,6178.37
PAY00152,O00152,2025-08-14,UPI,Failed,2365.81
PAY00153,O00153,2023-09-18,UPI,Failed,47307.36
PAY00154,O00154,2023-07-20,COD,Success,2334.13
PAY00155,O00155,2023-11-26,Credit Card,Success,1784.67
PAY00156,O00156,2023-04-01,Net Banking,Success,44139.62
PAY00157,O00157,2024-08-15,Debit Card,Success,55454.73
PAY00158,O00158,2023-02-25,Credit Card,Success,2386.5
PAY00159,O00159,2023-04-04,COD,Success,32252.0
PAY00160,O00160,2023-02-26,Credit Card,Success,6275.59
PAY00161,O00161,2023-03-04,UPI,Success,57413.36
PAY00162,O00162,2023-04-27,UPI,Success,53449.85
PAY00163,O00163,2024-08-12,COD,Success,30782.06
PAY00164,O00164,2023-08-26,Credit Card,Success,19837.78
PAY00165,O00165,2023-02-03,Debit Card,Success,2737.3
PAY00166,O00166,2025-02-24,UPI,Success,105748.25
PAY00167,O00167,2023-01-21,COD,Success,8244.32
PAY00168,O00168,2025-07-08,COD,Success,1240.73
PAY00169,O00169,2023-10-29,Credit Card,Failed,14380.34
PAY00170,O00170,2023-10-24,Debit Card,Failed,52894.35
PAY00171,O00171,2025-02-11,Credit Card,Success,29631.11
PAY00172,O00172,2025-12-03,Credit Card,Success,40100.52
PAY00173,O00173,2024-02-24,COD,Success,37398.8
PAY00174,O00174,2023-03-03,Net Banking,Success,29352.17
PAY00175,O00175,2025-05-08,UPI,Success,654.12
PAY00176,O00176,2024-06-23,UPI,Success,773.34
PAY00177,O00177,2024-11-27,UPI,Success,2333.13
PAY00178,O00178,2025-03-30,COD,Success,79153.2
PAY00179,O00179,2025-11-25,Debit Card,Success,20368.49
PAY00180,O00180,2025-07-09,UPI,Success,1412.27
PAY00181,O00181,2025-09-02,UPI,Success,138247.62
PAY00182,O00182,2024-06-27,Debit Card,Refunded,1152.38
PAY00183,O00183,2025-03-01,UPI,Success,35316.64
PAY00184,O00184,2023-02-02,UPI,Success,15515.91
PAY00185,O00185,2024-08-03,Credit Card,Success,196.89
PAY00186,O00186,2023-12-19,COD,Success,116493.83
PAY00187,O00187,2023-09-13,UPI,Success,16663.32
PAY00188,O00188,2025-12-09,Debit Card,Success,1753.31
PAY00189,O00189,2025-11-12,COD,Success,101858.12
PAY00190,O00190,2023-10-02,UPI,Success,9196.15
PAY00191,O00191,2024-11-24,Debit Card,Success,11334.43
PAY00192,O00192,2023-09-07,COD,Success,2135.57
PAY00193,O00193,2025-06-22,UPI,Success,164287.03
PAY00194,O00194,2023-08-22,Net Banking,Success,33134.84
PAY00195,O00195,2024-03-05,UPI,Success,16856.47
PAY00196,O00196,2025-08-15,UPI,Success,1332.36
PAY00197,O00197,2024-09-26,COD,Success,157089.15
PAY00198,O00198,2023-08-31,Credit Card,Success,60695.96
PAY00199,O00199,2023-05-15,Debit Card,Success,10853.31
PAY00200,O00200,2025-12-30,Credit Card,Success,136319.91
PAY00201,O00201,2025-10-22,Debit Card,Success,23741.79
PAY00202,O00202,2023-08-08,UPI,Success,17517.07
PAY00203,O00203,2024-11-29,UPI,Success,1217.91
PAY00204,O00204,2023-11-03,Debit Card,Success,110883.5
PAY00205,O00205,2023-11-11,UPI,Success,16121.05
PAY00206,O00206,2025-07-12,COD,Success,92945.46
PAY00207,O00207,2023-10-09,Net Banking,Failed,10222.62
PAY00208,O00208,2023-02-06,UPI,Failed,13833.7
PAY00209,O00209,2023-03-11,COD,Success,63764.88
PAY00210,O00210,2023-12-27,UPI,Success,16573.44
PAY00211,O00211,2024-02-14,COD,Refunded,11081.68
PAY00212,O00212,2024-08-03,Net Banking,Success,4433.33
PAY00213,O00213,2024-06-04,Credit Card,Failed,107275.97
PAY00214,O00214,2024-08-30,Credit Card,Failed,3692.28
PAY00215,O00215,2023-03-24,Debit Card,Refunded,1681.35
PAY00216,O00216,2023-09-08,COD,Success,22723.47
PAY00217,O00217,2025-11-29,UPI,Success,19582.48
PAY00218,O00218,2023-02-16,Credit Card,Success,26183.97
PAY00219,O00219,2023-05-19,Credit Card,Success,1782.11
PAY00220,O00220,2025-04-03,COD,Success,2452.36
PAY00221,O00221,2025-09-06,UPI,Success,3367.87
PAY00222,O00222,2025-03-30,Debit Card,Success,127467.02
PAY00223,O00223,2024-01-03,UPI,Success,540.48
PAY00224,O00224,2023-08-17,COD,Success,1517.73
PAY00225,O00225,2023-07-04,UPI,Success,20595.8
PAY00226,O00226,2024-04-13,Net Banking,Success,16343.43
PAY00227,O00227,2025-04-19,UPI,Success,38897.46
PAY00228,O00228,2023-07-25,UPI,Success,1358.98
PAY00229,O00229,2025-09-02,Credit Card,Failed,1092.95
PAY00230,O00230,2024-09-15,UPI,Success,7434.83
PAY00231,O00231,2025-12-28,Debit Card,Failed,396.47
PAY00232,O00232,2025-05-18,COD,Failed,551.0
PAY00233,O00233,2024-07-05,Debit Card,Success,29118.04
PAY00234,O00234,2024-08-27,Net Banking,Success,20401.61
PAY00235,O00235,2025-01-25,Credit Card,Success,1661.15
PAY00236,O00236,2024-09-20,Net Banking,Failed,1450.06
PAY00237,O00237,2025-10-14,UPI,Success,47882.7
PAY00238,O00238,2023-04-05,COD,Success,37044.64
PAY00239,O00239,2024-11-16,UPI,Success,2380.15
PAY00240,O00240,2025-03-08,Credit Card,Refunded,2255.91
PAY00241,O00241,2024-01-06,Credit Card,Refunded,7934.68
PAY00242,O00242,2023-10-08,COD,Success,34241.63
PAY00243,O00243,2023-12-17,Debit Card,Success,2436.7
PAY00244,O00244,2024-02-12,Credit Card,Success,20059.18
PAY00245,O00245,2024-03-23,COD,Success,11208.87
PAY00246,O00246,2023-11-21,COD,Success,641.74
PAY00247,O00247,2024-09-23,UPI,Success,18337.28
PAY00248,O00248,2023-03-15,COD,Success,25032.7
PAY00249,O00249,2024-06-01,Credit Card,Failed,5027.13
PAY00250,O00250,2023-01-23,COD,Success,7529.49
PAY00251,O00251,2023-06-28,UPI,Failed,8088.35
PAY00252,O00252,2024-12-10,UPI,Success,349.65
PAY00253,O00253,2025-07-26,Debit Card,Success,93359.47
PAY00254,O00254,2025-10-17,UPI,Success,9868.7
PAY00255,O00255,2025-08-07,Credit Card,Failed,40414.95
PAY00256,O00256,2024-06-15,Debit Card,Success,52518.64
PAY00257,O00257,2023-12-31,Debit Card,Success,35095.2
PAY00258,O00258,2024-02-29,Debit Card,Success,13332.78
PAY00259,O00259,2025-08-18,Debit Card,Failed,3651.62
PAY00260,O00260,2025-12-08,UPI,Refunded,1060.83
PAY00261,O00261,2024-11-04,UPI,Success,1457.44
PAY00262,O00262,2025-11-20,COD,Success,21837.07
PAY00263,O00263,2025-10-11,COD,Failed,58728.26
PAY00264,O00264,2025-05-30,UPI,Success,3744.4
PAY00265,O00265,2025-08-05,COD,Success,2940.83
PAY00266,O00266,2025-09-16,UPI,Success,9009.63
PAY00267,O00267,2023-06-01,UPI,Success,3428.97
PAY00268,O00268,2023-09-14,Credit Card,Success,37695.14
PAY00269,O00269,2024-12-05,Debit Card,Success,123951.06
PAY00270,O00270,2024-10-17,UPI,Success,3038.47
PAY00271,O00271,2025-01-27,COD,Success,2069.0
PAY00272,O00272,2025-11-23,Net Banking,Failed,875.54
PAY00273,O00273,2023-07-07,Net Banking,Success,26576.11
PAY00274,O00274,2025-05-29,UPI,Success,1900.16
PAY00275,O00275,2024-11-03,COD,Refunded,13073.87
PAY00276,O00276,2025-05-25,Credit Card,Success,1272.5
PAY00277,O00277,2023-04-29,Debit Card,Success,47155.38
PAY00278,O00278,2025-12-18,Net Banking,Failed,787.04
PAY00279,O00279,2025-11-07,Debit Card,Success,32589.73
PAY00280,O00280,2025-05-21,Credit Card,Success,63065.42
PAY00281,O00281,2024-04-03,Credit Card,Failed,4433.33
PAY00282,O00282,2024-12-06,Debit Card,Success,9017.78
PAY00283,O00283,2024-10-05,Net Banking,Success,88708.17
PAY00284,O00284,2025-08-23,COD,Success,22475.93
PAY00285,O00285,2023-07-31,Credit Card,Success,2770.24
PAY00286,O00286,2024-05-02,UPI,Refunded,713.62
PAY00287,O00287,2025-06-10,UPI,Success,2972.59
PAY00288,O00288,2025-10-24,UPI,Success,14380.34
PAY00289,O00289,2025-09-30,UPI,Success,3555.39
PAY00290,O00290,2025-09-13,Debit Card,Success,2348.74
PAY00291,O00291,2023-12-09,COD,Success,101608.07
PAY00292,O00292,2025-12-18,UPI,Success,110195.86
PAY00293,O00293,2023-10-23,COD,Refunded,40553.94
PAY00294,O00294,2023-01-28,Debit Card,Failed,6421.35
PAY00295,O00295,2025-05-08,Credit Card,Success,5820.81
PAY00296,O00296,2024-07-26,Debit Card,Success,15618.58
PAY00297,O00297,2025-07-18,COD,Success,175881.58
PAY00298,O00298,2025-11-21,Credit Card,Failed,1403.25
PAY00299,O00299,2024-02-03,Credit Card,Success,111852.66
PAY00300,O00300,2025-11-08,UPI,Failed,38534.59
PAY00301,O00301,2024-08-23,UPI,Failed,1272.5
PAY00302,O00302,2025-12-11,Net Banking,Success,4606.14
PAY00303,O00303,2024-01-07,UPI,Success,5074.63
PAY00304,O00304,2023-06-13,Debit Card,Success,4222.58
PAY00305,O00305,2024-03-25,Net Banking,Failed,27979.67
PAY00306,O00306,2024-06-27,COD,Success,3170.65
PAY00307,O00307,2024-12-12,UPI,Failed,2119.56
PAY00308,O00308,2023-12-19,COD,Failed,24265.75
PAY00309,O00309,2024-01-16,Debit Card,Success,42057.25
PAY00310,O00310,2023-07-20,UPI,Success,21144.44
PAY00311,O00311,2024-05-20,Debit Card,Success,348.22
PAY00312,O00312,2025-10-08,COD,Success,7691.19
PAY00313,O00313,2025-11-17,UPI,Success,912.31
PAY00314,O00314,2023-12-05,COD,Success,5355.23
PAY00315,O00315,2023-10-16,UPI,Failed,13167.72
PAY00316,O00316,2024-09-22,Credit Card,Refunded,918.1
PAY00317,O00317,2025-11-20,UPI,Success,1458.1
PAY00318,O00318,2024-10-27,Debit Card,Success,5618.19
PAY00319,O00319,2023-04-17,UPI,Success,18373.44
PAY00320,O00320,2024-05-22,UPI,Success,4835.85
PAY00321,O00321,2023-04-28,UPI,Success,36837.32
PAY00322,O00322,2023-03-22,COD,Success,2260.9
PAY00323,O00323,2025-01-10,UPI,Success,32544.21
PAY00324,O00324,2023-01-25,Debit Card,Success,64950.17
PAY00325,O00325,2023-12-29,Debit Card,Refunded,27597.81
PAY00326,O00326,2024-12-02,UPI,Success,22635.82
PAY00327,O00327,2023-08-06,Credit Card,Refunded,5740.36
PAY00328,O00328,2025-09-18,Credit Card,Success,5019.3
PAY00329,O00329,2024-12-09,Credit Card,Success,2957.41
PAY00330,O00330,2024-09-19,Net Banking,Success,1749.09
PAY00331,O00331,2024-07-22,UPI,Success,693.55
PAY00332,O00332,2024-03-18,COD,Success,29836.8
PAY00333,O00333,2024-04-04,COD,Success,495.05
PAY00334,O00334,2023-05-26,UPI,Success,1213.82
PAY00335,O00335,2023-11-10,Debit Card,Success,1864.78
PAY00336,O00336,2025-05-24,Debit Card,Success,922.46
PAY00337,O00337,2024-12-30,Credit Card,Success,80540.41
PAY00338,O00338,2024-10-01,Credit Card,Success,12731.92
PAY00339,O00339,2024-04-19,UPI,Success,7489.76
PAY00340,O00340,2024-11-17,Debit Card,Success,501.82
PAY00341,O00341,2024-08-28,UPI,Success,1226.37
PAY00342,O00342,2025-06-22,Credit Card,Refunded,76852.73
PAY00343,O00343,2023-10-04,COD,Success,49165.2
PAY00344,O00344,2025-01-23,UPI,Success,11783.74
PAY00345,O00345,2023-08-05,Credit Card,Success,1060.26
PAY00346,O00346,2024-11-08,Credit Card,Success,1692.5
PAY00347,O00347,2024-12-10,UPI,Success,5250.52
PAY00348,O00348,2025-07-13,Credit Card,Success,40117.98
PAY00349,O00349,2024-02-13,UPI,Success,2872.71
PAY00350,O00350,2023-05-30,Credit Card,Success,138050.1
PAY00351,O00351,2024-05-19,Credit Card,Success,3038.63
PAY00352,O00352,2023-08-21,Credit Card,Success,11306.92
PAY00353,O00353,2024-05-12,UPI,Success,103336.5
PAY00354,O00354,2024-02-27,UPI,Success,101660.52
PAY00355,O00355,2023-09-04,Debit Card,Failed,915.61
PAY00356,O00356,2023-04-17,UPI,Success,1568.87
PAY00357,O00357,2023-08-23,UPI,Success,1008.04
PAY00358,O00358,2024-04-19,COD,Success,881.04
PAY00359,O00359,2025-10-02,UPI,Success,25232.54
PAY00360,O00360,2025-01-29,Credit Card,Success,2082.35
PAY00361,O00361,2025-05-26,Debit Card,Failed,17933.66
PAY00362,O00362,2023-04-23,UPI,Success,43198.01
PAY00363,O00363,2023-01-25,UPI,Success,53810.58
PAY00364,O00364,2025-07-25,Credit Card,Success,13645.59
PAY00365,O00365,2023-11-13,UPI,Failed,2691.07
PAY00366,O00366,2023-07-22,UPI,Success,1194.41
PAY00367,O00367,2024-09-09,UPI,Success,42809.64
PAY00368,O00368,2024-08-28,UPI,Success,404.57
PAY00369,O00369,2025-09-21,Net Banking,Failed,5770.8
PAY00370,O00370,2023-01-25,UPI,Success,7335.35
PAY00371,O00371,2024-10-20,Credit Card,Success,5324.42
PAY00372,O00372,2024-06-16,Credit Card,Success,26196.64
PAY00373,O00373,2023-02-17,Credit Card,Success,2884.04
PAY00374,O00374,2025-11-25,Credit Card,Success,131405.21
PAY00375,O00375,2023-07-21,Debit Card,Failed,55479.39
PAY00376,O00376,2024-01-01,COD,Success,622.9
PAY00377,O00377,2024-04-14,UPI,Success,984.75
PAY00378,O00378,2025-02-17,UPI,Success,2731.42
PAY00379,O00379,2024-02-22,Net Banking,Failed,24323.4
PAY00380,O00380,2024-12-01,COD,Success,5761.42
PAY00381,O00381,2025-03-20,UPI,Success,13430.41
PAY00382,O00382,2023-07-11,COD,Success,14968.28
PAY00383,O00383,2023-12-15,Debit Card,Failed,60799.55
PAY00384,O00384,2024-01-10,Credit Card,Success,556.67
PAY00385,O00385,2025-09-11,COD,Success,6744.6
PAY00386,O00386,2025-09-15,Debit Card,Success,7775.49
PAY00387,O00387,2023-04-22,COD,Success,841.8
PAY00388,O00388,2024-10-08,Credit Card,Success,104036.66
PAY00389,O00389,2025-11-03,COD,Success,12169.38
PAY00390,O00390,2024-06-08,UPI,Failed,5628.2
PAY00391,O00391,2023-07-16,Debit Card,Success,7664.25
PAY00392,O00392,2023-02-25,Credit Card,Failed,3092.43
PAY00393,O00393,2023-07-02,Credit Card,Success,3288.79
PAY00394,O00394,2025-11-08,COD,Success,32518.09
PAY00395,O00395,2023-12-30,UPI,Refunded,18781.19
PAY00396,O00396,2024-04-18,Net Banking,Success,9597.41
PAY00397,O00397,2023-01-11,Credit Card,Success,20401.47
PAY00398,O00398,2024-10-22,Debit Card,Failed,56644.27
PAY00399,O00399,2023-01-27,Credit Card,Refunded,307.23
PAY00400,O00400,2025-12-17,Debit Card,Success,13006.62
PAY00401,O00401,2025-04-05,Debit Card,Success,154759.47
PAY00402,O00402,2023-03-11,COD,Success,4089.26
PAY00403,O00403,2025-10-21,COD,Success,1480.7
PAY00404,O00404,2023-02-17,UPI,Success,36237.41
PAY00405,O00405,2025-08-04,Debit Card,Success,4841.88
PAY00406,O00406,2025-12-09,COD,Failed,31580.54
PAY00407,O00407,2023-12-22,COD,Success,21882.99
PAY00408,O00408,2025-10-08,COD,Success,8875.03
PAY00409,O00409,2024-03-13,COD,Success,7256.12
PAY00410,O00410,2024-12-02,Debit Card,Success,31294.02
PAY00411,O00411,2024-09-18,Debit Card,Success,69505.26
PAY00412,O00412,2023-04-01,COD,Success,1712.04
PAY00413,O00413,2024-01-06,COD,Success,141994.22
PAY00414,O00414,2025-07-27,UPI,Success,2925.6
PAY00415,O00415,2025-08-14,COD,Refunded,2079.52
PAY00416,O00416,2024-05-15,Net Banking,Refunded,7008.45
PAY00417,O00417,2024-12-05,UPI,Success,3913.07
PAY00418,O00418,2023-05-14,UPI,Failed,2151.72
PAY00419,O00419,2023-06-21,UPI,Success,35881.46
PAY00420,O00420,2025-02-02,UPI,Success,2188.79
PAY00421,O00421,2024-03-18,COD,Failed,101484.56
PAY00422,O00422,2025-09-11,UPI,Refunded,24870.97
PAY00423,O00423,2023-04-22,Debit Card,Success,78114.39
PAY00424,O00424,2025-11-30,COD,Success,60704.72
PAY00425,O00425,2023-04-13,COD,Success,91790.96
PAY00426,O00426,2023-12-09,Credit Card,Success,55426.51
PAY00427,O00427,2025-07-09,Credit Card,Success,75039.72
PAY00428,O00428,2025-03-26,UPI,Success,9002.4
PAY00429,O00429,2023-07-16,UPI,Failed,42626.33
PAY00430,O00430,2024-05-21,UPI,Failed,116567.57
PAY00431,O00431,2026-01-01,UPI,Success,803.5
PAY00432,O00432,2023-08-08,Credit Card,Success,15611.69
PAY00433,O00433,2023-06-16,UPI,Success,4127.79
PAY00434,O00434,2024-01-16,Credit Card,Success,8118.8
PAY00435,O00435,2024-01-05,COD,Success,1218.35
PAY00436,O00436,2023-01-08,Debit Card,Success,61333.39
PAY00437,O00437,2024-03-24,Debit Card,Failed,5200.74
PAY00438,O00438,2023-02-04,COD,Success,5949.74
PAY00439,O00439,2024-05-12,UPI,Success,40005.16
PAY00440,O00440,2025-05-13,COD,Success,46136.38
PAY00441,O00441,2023-01-24,UPI,Success,41818.95
PAY00442,O00442,2024-10-25,UPI,Success,26140.87
PAY00443,O00443,2024-08-14,UPI,Success,1182.0
PAY00444,O00444,2024-11-09,UPI,Success,25135.18
PAY00445,O00445,2023-09-30,UPI,Success,48583.31
PAY00446,O00446,2023-01-01,Net Banking,Success,56642.72
PAY00447,O00447,2023-10-15,Debit Card,Success,1367.44
PAY00448,O00448,2025-07-27,Credit Card,Success,4712.23
PAY00449,O00449,2025-05-05,Debit Card,Success,25947.5
PAY00450,O00450,2023-02-19,COD,Success,88589.9
PAY00451,O00451,2024-09-09,UPI,Success,602.78
PAY00452,O00452,2023-07-09,Debit Card,Failed,5684.87
PAY00453,O00453,2025-12-02,Net Banking,Success,37493.86
PAY00454,O00454,2025-01-30,Credit Card,Success,14037.03
PAY00455,O00455,2023-03-08,Debit Card,Success,2599.04
PAY00456,O00456,2024-02-02,COD,Success,70047.73
PAY00457,O00457,2023-05-09,Debit Card,Success,37187.36
PAY00458,O00458,2024-11-29,Net Banking,Success,47604.62
PAY00459,O00459,2023-07-09,UPI,Success,36285.97
PAY00460,O00460,2024-08-01,COD,Success,4336.34
PAY00461,O00461,2025-04-21,Debit Card,Success,4478.74
PAY00462,O00462,2025-01-31,UPI,Success,16932.02
PAY00463,O00463,2024-10-28,COD,Success,12244.06
PAY00464,O00464,2025-07-21,Net Banking,Success,5030.24
PAY00465,O00465,2023-03-21,UPI,Failed,395.7
